Country,Total_Medals,Gold,Silver,Bronze,Population
United States,2980,1180,959,841,338289857
United Kingdom,948,296,320,332,67508936
Germany,892,293,293,306,83369843
France,874,258,289,327,64626628
Italy,742,257,224,261,59037474
China,696,275,227,194,1425887337
Sweden,661,205,222,234,10549347
Australia,562,169,178,215,26177413
Japan,555,183,172,200,123951692
Russia,547,196,164,187,144713314
Norway,528,192,176,160,5434319
Canada,525,144,172,209,38454327
Hungary,518,182,156,180,9967308
Finland,472,144,148,180,5540745
Netherlands,451,140,148,163,17564014
Switzerland,358,109,124,125,8740472
South Korea,357,127,116,114,51815810
Austria,326,83,115,128,8939617
Poland,320,79,96,145,39857145
Romania,309,90,97,122,19659267
Cuba,241,85,71,85,11212191
Bulgaria,230,55,90,85,6781953
Denmark,206,48,79,79,5882261
Spain,171,49,72,50,47558630
